tenancy_id,property_id,original_lease_start,lease_start,lease_end,vacate_type,notice_sent_received,termination_date,moving_out,charge_to,contact_1_id,contact_[n]_auto_email_receipts,contact_[n]_auto_email_invoices,contact_[n]_enotices_no_consent,contact_[n]_dont_send_marketing,contact_[n]_type,contact_[n]_account_name,contact_[n]_account_bsb,contact_[n]_account_no,direct_debit_invoices,direct_debit_rent,direct_debit_contact_id,direct_debit_max_amount,direct_debit_schedule_description,direct_debit_schedule_period,direct_debit_schedule_amount,direct_debit_schedule_start,direct_debit_schedule_end,last_rent_review,next_rent_review,rent_account,rent_description,rent_start,rent_period,rent_amount,new_rent_start,new_rent_period,new_rent_amount,rent_paid_to,rent_credit,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,outgoings_[n]_paid_to,outgoings_[n]_credit,new_outgoings_[n]_amount,bond_[n]_required,bond_[n]_account,bond_[n]_reference,bond_[n]_lodged_direct,held_for_tenancy,tag_[group name],fee_[fee id],contact_2_id,contact_3_id,contact_4_id
rps_lng-HDO211377,rps_lng-CVA210023,2022-11-12,2022-11-12,2024-11-11,,,,,,rps_lng-HDO21002948,,,,,,,,,,,,,,,,,,,,100005,,2022-11-12,Monthly,495.02,,,,31/08/2023,0.0,,,,,,,,,,,,,,,,
rps_lng-CVA210538,rps_lng-CVA210032,2022-10-01,2022-10-01,2023-09-30,,,,,,rps_lng-CVA21001557,,,,,,,,,,,,,,,,,,,,100005,,2022-10-01,Monthly,710.2,,,,31/08/2023,0.0,,,,,,,,,,,,,,rps_lng-CVA21001558,,
rps_lng-CVA210093,rps_lng-CVA210067,2020-01-01,2020-01-01,2021-01-31,,,,,,rps_lng-CVA21001534,,,,,,,,,,,,,,,,,,,2023-12-01T10:00:00+00:00,100005,,2020-01-01,Monthly,640.01,,,,31/08/2023,0.0,,,,,,,,,,,,,,rps_lng-CVA21001535,,
rps_lng-HDO220375,rps_lng-CVA210068,2022-03-21,2023-03-21,2024-03-20,,,,,,rps_lng-HDO22000766,,,,,,,,,,,,,,,,,,,,100005,,2023-03-21,Monthly,350.04,,,,20/09/2023,1521.0,,,,,,,,,,,,,,,,
rps_lng-HDO230303,rps_lng-CVA210071,2023-03-18,2023-03-18,2024-03-17,,,,,,rps_lng-HDO23000919,,,,,,,,,,,,,,,,,,,,100005,,2023-03-18,Monthly,429.9,,,,17/09/2023,0.0,,,,,,,,,,,,,,,,
rps_lng-HDO221153,rps_lng-CVA210072,2022-08-18,2023-08-18,2025-08-17,,,,,,rps_lng-HDO22002581,,,,,,,,,,,,,,,,,,,,100005,,2023-08-18,Monthly,509.98,,,,17/09/2023,0.0,,,,,,,,,,,,,,,,
rps_lng-CVA210416,rps_lng-CVA210073,2020-04-15,2022-10-15,2023-10-14,,,,,,rps_lng-CVA21001532,,,,,,,,,,,,,,,,,,,,100005,,2022-10-15,Monthly,324.95,,,,31/08/2023,0.0,,,,,,,,,,,,,,,,
rps_lng-CVA210414,rps_lng-CVA210117,2022-07-01,2022-07-01,2022-12-31,,,,,,rps_lng-CVA21000603,,,,,,,,,,,,,,,,,,,2023-09-01T00:00:00+01:00,100005,,2022-07-01,Monthly,815.15,,,,31/08/2023,0.0,,,,,,,,,,,,,,rps_lng-CVA21000604,,
rps_lng-CVA210247,rps_lng-CVA210118,2023-04-01,2023-04-01,2024-02-29,,,,,,rps_lng-HDO22000462,,,,,,,,,,,,,,,,,,,,100005,,2023-04-01,Monthly,984.99,,,,31/08/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO23001975,,
rps_lng-CVA210164,rps_lng-CVA210153,2020-12-01,2023-06-01,2023-12-31,,,,,,rps_lng-CVA21000618,,,,,,,,,,,,,,,,,,,,100005,,2023-06-01,Monthly,399.98,,,,31/08/2023,0.0,,,,,,,,,,,,,,rps_lng-CVA21000619,,
rps_lng-HDO221557,rps_lng-CVA210167,2022-11-18,2022-11-18,2023-11-17,,,,,,rps_lng-HDO22003588,,,,,,,,,,,,,,,,,,,,100005,,2022-11-18,Monthly,399.98,,,,17/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO23001301,,
rps_lng-CVA210243,rps_lng-CVA210171,2020-03-01,2023-03-01,2023-08-31,,,,,,rps_lng-CVA21000633,,,,,,,,,,,,,,,,,,,,100005,,2023-03-01,Monthly,350.04,,,,31/08/2023,0.0,,,,,,,,,,,,,,,,
rps_lng-HDO230625,rps_lng-CVA210180,2023-06-01,2023-06-01,2024-05-31,,,,,,rps_lng-HDO23001720,,,,,,,,,,,,,,,,,,,,100005,,2023-06-01,Monthly,530.01,,,,31/08/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO23001719,,
rps_lng-HDO221031,rps_lng-CVA210185,2022-07-23,2022-07-23,2023-07-22,,,,,,rps_lng-HDO22002230,,,,,,,,,,,,,,,,,,,2024-04-01T16:00:00+01:00,100005,,2022-07-23,Monthly,475.0,,,,22/09/2023,0.0,,,,,,,,,,,,,,,,
rps_lng-CVA210537,rps_lng-CVA210194,2021-09-04,2021-09-04,2022-09-03,,,,,,rps_lng-CVA21000658,,,,,,,,,,,,,,,,,,,,100005,,2021-09-04,Monthly,700.08,,,,22/08/2023,0.0,,,,,,,,,,,,,,,,
rps_lng-CVA210145,rps_lng-CVA210231,2017-08-11,2017-08-11,2018-08-10,,,,,,rps_lng-CVA21001390,,,,,,,,,,,,,,,,,,,2023-11-20T00:00:00+00:00,100005,,2017-08-11,Monthly,310.22,,,,31/08/2023,0.0,,,,,,,,,,,,,,,,
rps_lng-HDO221193,rps_lng-CVA210272,2022-08-26,2022-08-26,2023-02-25,,,,,,rps_lng-HDO22002685,,,,,,,,,,,,,,,,,,,2023-11-08T14:00:00+00:00,100005,,2022-08-26,Monthly,449.92,,,,25/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO22002684,,
rps_lng-CVA210098,rps_lng-CVA210383,2018-12-01,2021-12-01,2022-12-11,,,,,,rps_lng-CVA21000833,,,,,,,,,,,,,,,,,,,2023-12-01T21:00:00+00:00,100005,,2021-12-01,Monthly,315.06,,,,31/08/2023,0.0,,,,,,,,,,,,,,,,
rps_lng-CVA210099,rps_lng-CVA210384,2015-09-23,2015-09-23,2016-09-22,,,,,,rps_lng-CVA21000834,,,,,,,,,,,,,,,,,,,2023-09-01T15:00:00+01:00,100005,,2015-09-23,Monthly,325.18,,,,31/08/2023,0.0,,,,,,,,,,,,,,,,
rps_lng-HDO230746,rps_lng-CVA210385,2023-06-20,2023-06-20,2024-06-19,,,,,,rps_lng-HDO23002007,,,,,,,,,,,,,,,,,,,,100005,,2023-06-20,Monthly,379.96,,,,19/09/2023,0.0,,,,,,,,,,,,,,,,
rps_lng-CVA210102,rps_lng-CVA210389,2020-10-01,2022-11-30,2023-11-29,,,,,,rps_lng-CVA21000840,,,,,,,,,,,,,,,,,,2023-08-01T11:00:00+01:00,,100005,,2022-11-30,Monthly,340.14,,,,31/08/2023,0.0,,,,,,,,,,,,,,,,
rps_lng-HDO210865,rps_lng-CVA210391,2021-07-17,2023-08-17,2024-08-16,,,,,,rps_lng-HDO21001957,,,,,,,,,,,,,,,,,,,,100005,,2023-08-17,Monthly,420.0,,,,16/09/2023,1825.0,,,,,,,,,,,,,,,,
rps_lng-HDO210580,rps_lng-CVA210401,2021-06-05,2023-07-05,2024-07-04,,,,,,rps_lng-HDO21001330,,,,,,,,,,,,,,,,,,,,100005,,2023-07-05,Monthly,650.14,,,,04/09/2023,2605.0,,,,,,,,,,,,,,rps_lng-HDO23002636,,
